frame_idx_rel,frame_idx_abs,t_video,filename,width,height,timestamp_src,throttle,brakes,car0_velocity,wheel_position,steering_angle_rad
0,240,0.0,frame_000000.jpg,1920,1080,23.1059,0.0,0.0,0.0321164,-0.0350288,-0.02139787625579064
1,241,0.016666666666666666,frame_000001.jpg,1920,1080,23.1189,0.00066,0.0,0.0297977,-0.0350288,-0.02139787625579064
2,242,0.03333333333333333,frame_000002.jpg,1920,1080,23.1387,0.0,0.0,0.0249227,-0.0350288,-0.02139787625579064
3,243,0.05,frame_000003.jpg,1920,1080,23.1514,0.0,0.0,0.0218564,-0.0350288,-0.02139787625579064
4,244,0.06666666666666667,frame_000004.jpg,1920,1080,23.1723,0.0,0.0,0.0129586,-0.0350288,-0.02139787625579064
5,245,0.08333333333333333,frame_000005.jpg,1920,1080,23.1929,0.0,0.0,0.00454559,-0.0350288,-0.02139787625579064
6,246,0.1,frame_000006.jpg,1920,1080,23.2031,0.0,0.0,0.00158174,-0.0350288,-0.02139787625579064
7,247,0.11666666666666667,frame_000007.jpg,1920,1080,23.2239,0.0,0.0,0.00689672,-0.0350288,-0.02139787625579064
8,248,0.13333333333333333,frame_000008.jpg,1920,1080,23.2439,0.0,0.0,0.0127077,-0.0350288,-0.02139787625579064
9,249,0.15,frame_000009.jpg,1920,1080,23.2548,0.00066,0.0,0.0149379,-0.0350288,-0.02139787625579064
10,250,0.16666666666666666,frame_000010.jpg,1920,1080,23.2749,0.0,0.0,0.0183792,-0.0350288,-0.02139787625579064
11,251,0.18333333333333332,frame_000011.jpg,1920,1080,23.2867,0.0,0.0,0.01972,-0.0350288,-0.02139787625579064
12,252,0.2,frame_000012.jpg,1920,1080,23.3057,0.00066,0.0,0.0212185,-0.0350288,-0.02139787625579064
13,253,0.21666666666666667,frame_000013.jpg,1920,1080,23.3176,0.00066,0.0,0.0213984,-0.0350288,-0.02139787625579064
14,254,0.23333333333333334,frame_000014.jpg,1920,1080,23.339,0.00066,0.0,0.0208462,-0.0350288,-0.02139787625579064
15,255,0.25,frame_000015.jpg,1920,1080,23.3589,0.0,0.0,0.0191673,-0.0350288,-0.02139787625579064
16,256,0.26666666666666666,frame_000016.jpg,1920,1080,23.3689,0.0,0.0,0.0177179,-0.0350288,-0.02139787625579064
17,257,0.2833333333333333,frame_000017.jpg,1920,1080,23.3889,0.0,0.0,0.0147045,-0.0350288,-0.02139787625579064
18,258,0.3,frame_000018.jpg,1920,1080,23.4119,0.0,0.0,0.0108096,-0.0350288,-0.02139787625579064
19,259,0.31666666666666665,frame_000019.jpg,1920,1080,23.4209,0.0,0.0,0.00859642,-0.0350288,-0.02139787625579064
20,260,0.3333333333333333,frame_000020.jpg,1920,1080,23.4429,0.0,0.0,0.00424303,-0.0350288,-0.02139787625579064
21,261,0.35,frame_000021.jpg,1920,1080,23.4536,0.0,0.0,0.00228951,-0.0350288,-0.02139787625579064
22,262,0.36666666666666664,frame_000022.jpg,1920,1080,23.4727,0.0,0.0,0.00211718,-0.0350288,-0.02139787625579064
23,263,0.38333333333333336,frame_000023.jpg,1920,1080,23.4935,0.0,0.0,0.00547554,-0.0350288,-0.02139787625579064
24,264,0.4,frame_000024.jpg,1920,1080,23.505,0.0,0.0,0.00749949,-0.0350288,-0.02139787625579064
25,265,0.4166666666666667,frame_000025.jpg,1920,1080,23.5247,0.0,0.0,0.0100956,-0.0350288,-0.02139787625579064
26,266,0.43333333333333335,frame_000026.jpg,1920,1080,23.5383,0.0,0.0,0.0110324,-0.0350288,-0.02139787625579064
27,267,0.45,frame_000027.jpg,1920,1080,23.5583,0.0,0.0,0.0119281,-0.0350288,-0.02139787625579064
28,268,0.4666666666666667,frame_000028.jpg,1920,1080,23.5677,0.0,0.0,0.0120101,-0.0350288,-0.02139787625579064
29,269,0.48333333333333334,frame_000029.jpg,1920,1080,23.59,0.0,0.0,0.0116813,-0.0350288,-0.02139787625579064
30,270,0.5,frame_000030.jpg,1920,1080,23.6024,0.0,0.0,0.0113097,-0.0350288,-0.02139787625579064
31,271,0.5166666666666667,frame_000031.jpg,1920,1080,23.6233,0.0,0.0,0.0099855,-0.0350288,-0.02139787625579064
